文件,作物,因变量,R-squared,MAE,MSE,RMSE,样本数
Water_sample_runoff_citrus_Particulate_Phosphorus.csv,citrus,NPK,0.145,0.181,0.046,0.214,72
Water_sample_runoff_citrus_Particulate_Phosphorus.csv,citrus,PK,0.03,0.024,0.001,0.032,72
Water_sample_runoff_citrus_Particulate_Phosphorus.csv,citrus,NK,0.255,0.206,0.064,0.253,72
Water_sample_runoff_citrus_Particulate_Phosphorus.csv,citrus,CK,0.216,0.033,0.002,0.045,72
Water_sample_runoff_citrus_Particulate_Phosphorus.csv,citrus,OF,0.134,0.115,0.019,0.138,72
Water_sample_runoff_corn_Particulate_Phosphorus.csv,corn,NPK,0.272,0.147,0.037,0.192,69
Water_sample_runoff_corn_Particulate_Phosphorus.csv,corn,PK,0.243,0.141,0.029,0.17,69
Water_sample_runoff_corn_Particulate_Phosphorus.csv,corn,NK,0.328,0.029,0.002,0.045,69
Water_sample_runoff_corn_Particulate_Phosphorus.csv,corn,CK,0.301,0.032,0.002,0.045,69
Water_sample_runoff_corn_Particulate_Phosphorus.csv,corn,OF,0.141,0.072,0.008,0.089,69
Water_sample_runoff_rice_Particulate_Phosphorus.csv,rice,NPK,0.093,0.276,0.101,0.318,69
Water_sample_runoff_rice_Particulate_Phosphorus.csv,rice,PK,0.154,0.238,0.085,0.292,69
Water_sample_runoff_rice_Particulate_Phosphorus.csv,rice,NK,0.145,0.03,0.001,0.032,69
Water_sample_runoff_rice_Particulate_Phosphorus.csv,rice,CK,0.119,0.034,0.002,0.045,69
Water_sample_runoff_rice_Particulate_Phosphorus.csv,rice,OF,0.048,0.175,0.052,0.228,69
Water_sample_runoff_vegetable_Particulate_Phosphorus.csv,vegetable,NPK,0.183,0.143,0.029,0.17,60
Water_sample_runoff_vegetable_Particulate_Phosphorus.csv,vegetable,PK,0.23,0.138,0.027,0.164,60
Water_sample_runoff_vegetable_Particulate_Phosphorus.csv,vegetable,NK,0.271,0.019,0.001,0.032,60
Water_sample_runoff_vegetable_Particulate_Phosphorus.csv,vegetable,CK,0.199,0.064,0.031,0.176,60
Water_sample_runoff_vegetable_Particulate_Phosphorus.csv,vegetable,OF,0.248,0.067,0.009,0.095,60
